id_cliente,nombre,tipo_documento,numero_documento,fecha_nacimiento,segmento
3,John Silva,DNI,08163869,2001-05-29,Premium
19,Jill Carlson,DNI,66795865,1965-10-20,Corporativo
35,Jacob Hooper,CE,03799311,1942-02-01,Premium
42,Julie Barrera,PAS,20477103,1978-05-20,Retail
58,Jill Dyer,CE,01224135,2001-05-27,Corporativo
67,John Livingston,DNI,16298895,1982-04-28,PYME
77,Jacob Davis,CE,87429481,1992-08-25,Retail
80,John Allen,PAS,32302128,1942-11-23,Retail
86,Jaime Villegas,DNI,34916664,1983-02-01,Premium
90,Jenny Richardson,CE,72945910,2006-11-16,Corporativo
97,Justin Little MD,DNI,35654054,1975-01-30,Premium
107,Jacob Reyes,CE,65381837,1975-08-31,Premium
118,Jason Vasquez,PAS,58875952,1998-05-12,Premium
144,Jacob Johnson,PAS,54230158,1980-10-08,PYME
151,Jordan Young,DNI,42378948,1952-02-16,Retail
152,Jason Williams,DNI,10043644,1948-08-10,Premium
153,Jennifer Park,PAS,37840201,1948-08-05,Retail
154,Juan Yang,CE,68867003,1949-04-17,Premium
156,Jacob Rush,CE,08260192,1943-07-20,Retail
162,Jesse Giles,PAS,33968470,1949-04-24,PYME
170,Joseph Perkins,CE,86190066,1966-07-29,Corporativo
194,Jean Robinson,PAS,66381142,1952-12-17,Retail
206,Jody Morgan,PAS,01878924,1946-07-29,Corporativo
211,Jose Cruz,DNI,95855337,1972-06-01,Premium
216,Jennifer Calhoun,CE,65451121,1969-08-06,PYME
220,Jeffrey Hawkins,CE,81031546,1959-01-15,PYME
237,Jonathan Hardin,PAS,09442784,1981-07-13,Retail
250,Jenny Stafford,PAS,41946167,1954-05-06,Premium
263,Jamie Garrett,PAS,78483614,2000-02-21,Corporativo
265,Jordan Martin,PAS,31070213,1990-11-07,Corporativo
267,Joseph Roberts,PAS,23435344,1971-07-10,Premium
270,Jon Smith,DNI,32659699,1989-12-18,Corporativo
273,Jasmin Flowers,CE,43821217,1956-08-31,Retail
281,Jessica Peterson,CE,78382492,1940-03-30,Corporativo
284,Jessica Dodson,PAS,46261486,1951-06-10,Premium
286,Jonathan Hogan,PAS,32031788,1980-10-13,Corporativo
287,Jeffrey Collins,PAS,17645525,1940-07-15,PYME
289,Joseph Stewart,DNI,50862952,1962-11-26,PYME
291,Jorge Mueller,CE,11141388,1987-05-05,Premium
314,John May,PAS,58896255,1991-08-10,Corporativo
324,Jimmy Moore,PAS,32690824,1962-04-26,PYME
332,James Williams,CE,75485413,1991-11-04,Retail
336,Jennifer Johnson,CE,99970271,1994-03-19,PYME
346,Joshua Thomas,DNI,60801904,1951-06-30,Premium
369,Joe Murray,CE,15981152,1951-02-25,PYME
370,Jason Lawrence,DNI,81336626,2007-05-23,Premium
375,Juan Johnson,PAS,12166873,1967-07-20,Premium
379,Jeffery Barber,DNI,96127575,1949-01-08,Corporativo
381,Johnny Yoder,PAS,29787159,1982-01-11,PYME
387,James Ruiz,PAS,15091213,1960-06-11,Retail
399,Jennifer Guerrero MD,PAS,29873169,1986-02-18,PYME
401,Jeremy Brown,DNI,48580040,1965-02-17,PYME
413,John Reed,DNI,46435221,1992-09-09,Premium
427,Julie Murray,DNI,94839902,2003-04-16,Retail
439,John Smith,CE,07120340,1953-11-28,Premium
447,Jordan West,PAS,20282199,1951-10-09,PYME
449,Jonathan Wilkins,DNI,69533659,1998-05-10,PYME
451,Jeremy Barron,PAS,70595175,1977-03-16,Retail
453,John Thomas,CE,83227638,1969-08-12,Corporativo
456,Joseph Nunez,CE,71636236,2003-12-31,Retail
459,Jon Jackson,PAS,55203421,1942-10-26,Corporativo
465,John Munoz,CE,68347070,1961-03-25,Retail
474,John Fernandez,CE,53290192,2000-04-26,Retail
483,John Rodriguez,DNI,86394071,1970-01-15,Premium
492,James Pratt,CE,85925321,1952-07-05,Premium
501,Jessica Moore,CE,86079304,1988-08-28,Retail
503,John Edwards,PAS,07072004,1948-05-08,Retail
516,Jennifer Aguilar,CE,50378195,1956-11-09,Premium
521,Jeffrey Barry,DNI,21906350,1964-04-03,Premium
523,Jeffrey Terry,DNI,44256889,2002-09-07,Retail
526,Juan Wright,CE,74802065,1941-06-19,Retail
533,James Cruz,PAS,36456284,1975-06-01,Corporativo
536,Joanna Hill,PAS,11569554,1967-09-05,PYME
540,Jeremy Hayes,DNI,46889138,1992-07-20,PYME
546,Jeremiah Alvarez,DNI,75125011,1959-09-30,Retail
548,Jamie Riley,CE,75190072,1986-12-10,PYME
