id_cliente,nombre,tipo_documento,numero_documento,fecha_nacimiento,segmento
17,Michelle Kelley,CE,10124587,1995-01-13,Retail
22,Michael Anderson,DNI,85382697,1949-10-15,Premium
24,Melinda Massey,DNI,36725037,1975-04-23,Retail
27,Matthew Davies,PAS,01197380,2002-01-03,PYME
28,Mrs. Erika Wilson,CE,79862424,1979-07-24,Premium
30,Michael Watson,DNI,86301224,1951-03-19,PYME
43,Michael Levy,DNI,99663440,1943-07-24,Premium
46,Michael Mccullough,PAS,16272385,1999-02-21,Corporativo
53,Matthew Smith,DNI,97903322,1952-09-11,Corporativo
64,Mitchell Smith,DNI,03810433,1995-08-07,PYME
74,Michelle Orr,CE,47783165,1983-03-04,Premium
85,Mr. George Mcdaniel Jr.,CE,96601253,1950-12-11,Premium
91,Ms. Carol Lee MD,DNI,37664577,1995-07-19,Corporativo
92,Michaela Leach,DNI,42700457,1970-05-05,Premium
103,Michael Ruiz,CE,02669874,1994-01-17,Corporativo
120,Mrs. Lisa Hughes,DNI,86262029,1942-10-24,Retail
125,Marie Montes,CE,80172550,1988-03-04,PYME
132,Mary Armstrong,CE,69619469,1954-04-23,Premium
134,Melissa Fisher,CE,27676515,1960-05-21,Premium
138,Michael Johnson,CE,85797271,2002-03-02,PYME
143,Monique Santana,DNI,13262812,1990-07-06,Corporativo
160,Melissa Flynn,DNI,10869665,1969-12-21,Corporativo
163,Mark Miller,CE,31601753,1990-12-28,Premium
188,Melissa Acosta,DNI,31825046,1955-01-14,Corporativo
191,Melissa Hernandez,CE,56594577,2003-02-12,Corporativo
200,Mark Black,CE,05894996,2004-09-12,Premium
204,Matthew Taylor,PAS,52870173,1993-02-22,Corporativo
212,Micheal Williams,DNI,09592778,2003-03-08,Premium
228,Michele Guerrero,CE,70152940,1954-09-08,PYME
241,Michele Miller,PAS,74820760,1948-12-18,Corporativo
242,Michele Underwood,CE,21870204,1993-01-20,Premium
245,Mary Perez,PAS,19338454,1963-01-12,Corporativo
247,Mark Gomez,PAS,16389866,1973-01-11,Retail
254,Melissa Ford,PAS,10613690,1942-06-19,PYME
257,Melissa Miller,CE,63224286,1955-10-07,Premium
272,Michael Clark,CE,28633343,1975-08-18,Retail
295,Mrs. Cheyenne Gomez,PAS,85333579,1987-04-02,Retail
306,Michael Murphy,DNI,93391275,1941-04-07,Corporativo
309,Megan Ruiz,DNI,95320015,1961-01-05,Retail
312,Michael Larson,PAS,73857589,1967-02-12,PYME
315,Monica Stone,CE,25083485,1995-08-26,Retail
319,Michael Casey,DNI,56705873,1974-10-27,Premium
329,Mallory Taylor,PAS,78229177,2002-08-04,PYME
360,Matthew Church,CE,07570064,1968-12-23,PYME
362,Matthew Sanders,DNI,31666962,1979-03-05,Retail
