id_cliente,nombre,tipo_documento,numero_documento,fecha_nacimiento,segmento
10,Amy Sellers,CE,93841387,2001-12-11,Retail
40,Antonio Mcdonald,DNI,80702412,1980-03-14,Premium
57,Amber Griffin,CE,15553200,1957-04-02,PYME
62,Angela Swanson,CE,03428403,2006-10-06,Premium
71,Amanda Harris,PAS,55314577,1957-04-13,Premium
76,Alexa Hernandez,DNI,19799313,1962-04-19,PYME
78,Amanda Martin,DNI,22897271,2006-06-06,PYME
88,Adam Long,PAS,93807362,1974-12-05,Retail
94,Andrew Gould,DNI,57355644,1954-04-21,Premium
95,Ashley Ellis,DNI,89880675,1964-03-21,PYME
116,Amy Davidson,DNI,48500767,1948-04-10,PYME
119,Angela Hale,PAS,35855721,1994-10-01,Corporativo
129,Amanda Myers MD,PAS,03655474,1952-07-28,Premium
131,Amanda Scott,CE,57936952,1941-06-04,PYME
149,Angela Ferguson,PAS,39391101,1960-07-21,PYME
157,Adam Hayden,PAS,61402165,2000-12-09,Premium
164,Aaron Hale,CE,42998296,1981-09-18,Premium
167,Anna Jimenez,DNI,68153949,2004-12-31,Retail
184,Allison Ruiz,PAS,98671497,2000-01-28,Corporativo
203,Andrew Williams,PAS,21098445,1963-06-01,Premium
207,Angela Flores,DNI,38924576,1976-01-29,Corporativo
213,Alexandra Simpson,CE,79110850,1969-06-06,PYME
218,Amanda White,PAS,36735149,1972-12-15,Retail
223,Alan Mendez,PAS,76079903,1988-01-21,Premium
248,Allison Williams,PAS,69825552,1954-12-22,PYME
261,Ashley Fuller,DNI,42828400,1987-12-07,Premium
269,Amanda Foster,CE,63392783,1947-10-12,Retail
285,Amy Fowler,DNI,01549638,1979-01-22,Corporativo
322,Amanda Todd,PAS,10055293,1995-04-06,Retail
327,Ashley Lawson,PAS,66061950,1978-06-02,Corporativo
331,Amanda Brewer,CE,66392101,1987-03-02,PYME
334,Anthony Kelly,DNI,44823644,2000-12-24,Corporativo
343,Angela Howard,PAS,79326563,1946-04-24,Corporativo
344,Andrew Stout,PAS,15779646,1982-03-06,Premium
355,Aaron Williams,CE,25349142,2002-08-05,Corporativo
364,Alex Carr,DNI,78290444,1971-11-27,Corporativo
373,Amy Wiley,CE,69240695,1957-02-21,PYME
393,Andrew Wilson,PAS,78073191,1964-04-03,PYME
400,Alex Taylor,DNI,23040240,1966-01-11,Corporativo
402,Angie Chapman,CE,86962437,1962-05-17,Retail
430,Anna Stewart,PAS,97046215,2000-03-29,PYME
432,Amanda Davis,CE,16196251,1953-03-29,PYME
475,Anthony Sullivan,CE,70952620,1945-07-27,PYME
479,Andrea Jacobs,DNI,07037479,1989-04-27,Retail
480,Adrian Barnes DDS,PAS,17665254,1960-11-05,Premium
481,Alexander Stokes,DNI,71989608,1981-05-20,PYME
482,Alyssa Boyer,CE,70360206,1974-06-30,Retail
506,Amanda Carr,DNI,02475545,1959-07-05,Corporativo
514,Amber Erickson,DNI,41160663,1997-05-31,Retail
535,Alexandra Burgess,PAS,82473188,1956-02-24,Corporativo
542,Alexis Hernandez,CE,60634762,1984-12-27,Premium
568,Amanda Holland,CE,40267099,2002-12-14,Retail
594,Adam Mitchell,DNI,22567761,1992-03-11,PYME
603,Andrew Newman,PAS,07524855,1947-07-01,Retail
636,Anthony Bird,CE,22304196,1991-07-12,Retail
639,Ann Miller,DNI,57515725,2005-11-13,PYME
640,Anna Fritz,PAS,06425182,1997-10-05,Premium
642,Anne Elliott,PAS,31305748,1940-12-25,PYME
671,Anne Morales DDS,DNI,82533567,1971-05-12,Retail
695,Audrey Moore,DNI,92139936,1969-08-26,PYME
699,Amanda Page,DNI,73802386,1994-04-29,Premium
704,Alexis Thomas,DNI,21321109,1980-07-06,Corporativo
726,Ashley Johnson,PAS,48043691,1960-09-18,Retail
734,Anne Brown,CE,93943942,1996-11-01,PYME
743,Ashley Martin,CE,92292786,1950-11-17,Premium
754,Alexander Wells,DNI,01539966,1993-04-05,Premium
758,Amanda Gutierrez,CE,08782352,1971-05-23,PYME
760,Andrea Braun,DNI,83158265,1984-07-02,Corporativo
766,Amy Williams,DNI,82947973,1963-03-02,PYME
769,Aaron Graham,DNI,85807461,1959-03-31,PYME
779,Alexandra Meyer DVM,PAS,06823642,1985-10-27,PYME
782,Ashley Wilson,DNI,35902054,1995-01-21,Premium
789,Aaron Weber,CE,71223843,1950-03-20,PYME
791,Alicia Newton,DNI,74651988,1948-10-17,Retail
792,Angela Jones,DNI,26909397,1992-06-29,Corporativo
803,Aaron Scott,PAS,68135277,1985-12-26,Corporativo
814,Amber Pollard,CE,06051041,1988-10-15,Corporativo
826,Alice Cox,DNI,63559741,1972-04-07,Corporativo
842,Allison Vasquez,PAS,91348283,1994-09-19,Corporativo
854,Alexander Ruiz,CE,56784204,1978-08-25,Retail
856,Angela Kelly,PAS,03058517,1948-06-30,Retail
871,April Barrett,PAS,26955685,1960-03-10,Premium
873,Angela Mills,DNI,75025258,1957-04-11,Retail
874,Ashley Gray,CE,29300441,1945-09-07,Premium
901,Anthony Hall,PAS,43910554,1951-09-05,Corporativo
905,Adam Griffin,PAS,59219830,1940-05-05,Premium
920,Andrew Mclaughlin,PAS,03387143,1945-09-22,Corporativo
926,Anna Mckee,PAS,94003668,2003-08-10,Premium
934,Abigail Cain,DNI,62764088,1982-03-06,Premium
943,Angela Hancock,CE,75508901,1974-06-12,PYME
949,Alyssa Vincent,PAS,47622546,1962-01-20,Corporativo
953,Alexis Weiss,CE,16761685,1989-04-08,PYME
963,Annette Jackson,DNI,94684627,2000-08-04,Premium
966,Alan Williams Jr.,PAS,20553109,1973-02-16,Retail
968,Anita Watson DDS,DNI,20421847,1993-05-31,PYME
973,Andrew Smith,DNI,89212661,1983-04-17,Premium
